legislator_id,true_d1,true_d2
1,0.10418966169511962,-0.1639899318639098
2,-0.5805173960818704,0.6462952269362616
3,0.03974521781912549,-0.04900397483509989
4,-0.4866651679824431,-0.11131958530758479
5,-0.27238690953120426,0.06756230930962934
6,-0.8075808245439895,0.047681943248720465
7,-0.909280373302085,0.06832260733377765
8,-0.454179524049491,-0.35905648316931105
9,-0.1610748017757721,-0.14549989599570864
10,-0.19738136377108917,0.041246332064709464
11,-0.09713156009442075,0.13134260164547765
12,-0.7194832609694884,-0.14468674842033
13,-0.5770681364209003,-0.559791609775821
14,-0.5509254972082781,0.7983615074174176
15,-0.4572229855552521,-0.35366875935861114
16,-0.15055346009918774,0.32993086079396966
17,-0.5168512131493295,0.03930371648983197
18,-0.2557102537370348,0.2552199219257154
19,-0.31454414468510306,-0.917584863129464
20,-0.7037090967788984,-0.09420023779008099
21,-0.2018842435156091,0.1308120240345061
22,-0.34039724710151326,0.13515353967279353
23,-0.5502149686246571,-0.2743547171336054
24,-0.66261813610235,-0.34217571612252196
25,-0.6573372707071782,-0.5878311066451753
26,-0.7030127529549478,0.40756423132137976
27,-0.34001482592165033,0.28213707338820715
28,-0.9108919264863051,0.17083895253060966
29,-0.6578305876177011,-0.5875231694605841
30,-0.4420589872973661,-0.2299747462387619
31,-0.21443660375416737,0.9460004983985888
32,-0.5894077326288822,-0.04547807587689638
33,-0.450915433839628,-0.5421646563957608
34,-0.3603742290289203,0.43573382332378224
35,-0.8254944861971059,-0.009781413466555547
36,-0.183452064372848,0.08293446968857521
37,-0.09518555851509858,0.027902941049368076
38,-0.48802594253035475,0.1633369651459903
39,-0.12166366924538607,0.09218668809570935
40,-0.3678270206402578,-0.008802833276103967
41,-0.4387408973212092,-0.26759494355128166
42,-0.25661580970333364,-0.24906583508186061
43,-0.32608714045106224,0.40805739492141124
44,-0.0931923280542113,-0.7770323038170319
45,-0.6331817929434395,-0.5684836142714772
46,-0.5460056187975475,0.045562127823067455
47,-0.3005389925608733,-0.1268333264847491
48,-0.5663669629034415,0.6468883156051874
49,-0.11172297519012075,-0.20851582775241032
50,-0.5021894556403139,0.5495324078684339
51,-0.3295363216654829,0.7639443398693208
52,-0.5121552217661312,-0.16635466231282692
53,-0.5949412318127352,0.19252007341158583
54,-0.25983737102166016,0.5392000495472241
55,-0.5803422408398854,-0.12292959070919461
56,-0.8858483100071588,0.38177505880048257
57,-0.5604552216693279,-0.04800075300851475
58,-0.3861599747809511,-0.12856383399847968
59,-0.8779424323215632,0.32744081541002834
60,-0.5024154941004592,-0.09236194042699343
61,-0.41469114604180923,0.4337794005885547
62,-0.8471898778531759,0.2808752962750296
63,-0.7538539343573788,-0.0235939853598795
64,-0.6444534406554246,0.7249688012786378
65,-0.7511764458510395,-0.09388062956567206
66,-0.47130237869942254,-0.40768569581469544
67,-0.618548405233198,-0.30446774740296223
68,-0.44460193528686687,0.6437406841806088
69,-0.4828831804973333,-0.4437763575971464
70,-0.8742948819636538,-0.4201290984592247
71,-0.6824644388467523,-0.021515158421828655
72,-0.3252267572993767,-0.26992463373325015
73,-0.6217172652443855,-0.0456549732718955
74,-0.361719989111488,-0.01818419057505339
75,-0.3377556346257291,0.04301672523292458
76,-0.28445970456457625,-0.036908768736666854
77,-0.4612454522382914,0.2972730946063908
78,0.4183177367038959,0.22304102575714646
79,0.49796283358672305,0.23539741710253137
80,0.723388817917259,-0.3315952403676534
81,0.6480272884508775,-0.07409594547244629
82,0.7600188186606955,-0.21957725100323788
83,0.5452615454266171,-0.38727434883308803
84,0.6720305510649421,-0.10423907630933049
85,0.6998182582357593,0.10361451218095266
86,0.18965648827048415,-0.09265828912851974
87,0.23325180271131501,-0.149441140666335
88,0.5885578176853806,-0.5950621901500578
89,0.8949570912576711,0.30065952555575587
90,0.42852262878016606,-0.25698804244058177
91,0.5272389110837093,-0.06386955342996736
92,0.5965671390194351,-0.31378107615974876
93,0.6381689420849672,0.7305069481929338
94,0.3711956280381597,-0.09269083584024883
95,0.3938834226803487,0.10550175992800936
96,0.5936835008764091,-0.03446887828612138
97,0.26567546234299966,0.12864974543902466
98,-0.061228777379829735,-0.14610521612752794
99,0.5317370414011457,-0.2629505143822143
100,0.4301432597478613,-0.5376517150074104
101,0.6226735954412463,-0.048419600117880886
102,0.32348719345845833,0.49916819871183593
103,0.2465908394887386,-0.04867512076205141
104,0.470000642242615,-0.09501514365127396
105,0.4737753091651498,0.359313311697798
106,0.39147583394142516,0.09912050092088139
107,0.4647526279365558,-0.4758901435819552
108,0.7853168561756061,-0.046668651913854955
109,0.8201745011393023,-0.16809250710739243
110,0.4951832751293393,0.3882174532158766
111,-0.009722875339100823,-0.1938755548018549
112,0.2733602948701527,0.5681088346255483
113,0.7009702590149318,0.4247836175181518
114,0.6701224457916449,-0.20842770629271612
115,0.6960456123521794,0.6755890063679837
116,0.4501501855371131,-0.3016644130181601
117,0.331160518771508,0.19480633882055076
118,0.2920900949746108,0.7240370990867041
119,0.5535652275706963,0.13760098720958755
120,0.31982105820544615,0.5325416287645033
121,0.7188060900957141,-0.42971523646253806
122,0.36097689382900294,0.56385548092604
123,0.41145497397917086,-0.02483974995976368
